CHARLES ST                    ,FIRST ST                      ,2
CAMBRIDGE ST                  ,FELTON ST                     ,2
BRATTLE ST                    ,MT AUBURN ST                  ,2
CAMBRIDGE ST                  ,HARDING ST                    ,2
CHARLES ST                    ,SECOND ST                     ,2
CHARLES ST                    ,THIRD ST                      ,2
BIGELOW ST                    ,MASSACHUSETTS AVE             ,2
ANTRIM ST                     ,CAMBRIDGE ST                  ,2
BROADWAY,WINDSOR ST,2
 , ,2
HAMPSHIRE ST                  ,PLYMOUTH ST                   ,2
MASS AVE                      ,INMAN                         ,2
MASSACHUSETTS AVE,NORFOLK ST,2
MASSACHUSETTS                 ,TROWBRIDGE                    ,2
MT AUBURN ST                  ,UNIVERSITY RD                 ,2
HARVARD ST                    ,WINDSOR ST                    ,2
PLEASANT ST                   ,PUTNAM AVE                    ,2
MASS AVE                      ,PEARL                         ,2
MASSACHUSETTS AVE             ,QUINCY ST                     ,2
PLEASANT ST                   ,WESTERN AVE                   ,2
FIELD ST                      ,GARDEN ST                     ,2
VASSAR                        ,MASS AVE                      ,2
GORE ST,SIXTH ST,2
MASS AVE                      ,BROOKLINE                     ,2
EXETER PK           ,MASSACHUSETTS AVE       ,2
MASS AVE                      ,ALBANY                        ,2
MASS                          ,VASSAR                        ,2
HARVARD ST                    ,MASSACHUSETTS AVE             ,2
HARVARD ST                    ,INMAN ST                      ,2
ELIOT ST                      ,JFK ST                        ,2
MASSACHUSETTS AVE,WALDEN ST,2
LINDEN ST                     ,MT AUBURN ST                  ,2
BROADWAY,HAMPSHIRE ST,1
MASSACHUSETTS AVE,STATE ST,1
MASSACHUSETTS AVE,SIDNEY ST EXT,1
BROADWAY,ELLERY SQ,1
MASSACHUSETTS AVE,REMINGTON ST,1
BRATTLE ST                    ,MASON ST                      ,1
BRATTLE ST                    ,PALMER ST                     ,1
DUNSTER ST                    ,MT AUBURN ST                  ,1
BROADWAY,PROSPECT ST,1
MASSACHUSETTS                 ,WENDELL                       ,1
MASSACHUSETTS                 ,RIVER                         ,1
MASSACHUESTTS                 ,AUBURN                        ,1
MASSACHUSETTS AVE             ,INMAN                         ,1
