Citation Number,Date Time Issued,Street Number,Street Name,Cross Street,Charge Code,Charge Description
R7715124,4/26/16 8:50,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715071,4/26/16 8:55,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715125,4/26/16 9:05,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715073,4/26/16 9:15,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
7715074,4/26/16 9:18,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715126,4/26/16 9:20,77,MASSACHUSETTS AVE,,85/11B,BICYCLE VIOLATION c85 S11B
R7715128,4/27/16 10:45,,MASSACHUSETTS AVE,UPLAND RD,85/11B,BICYCLE VIOLATION c85 S11B
R7715129,4/27/16 11:15,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715131,4/27/16 11:35,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715132,4/27/16 11:45,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715356,4/27/16 17:24,,MASSACHUSETTS AVE,SIDNEY ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715357,4/27/16 17:24,,MASSACHUSETTS AVE,SIDNEY ST,85/11B,BICYCLE VIOLATION c85 S11B
R6588263,4/27/16 17:30,,MASSACHUSETTS AVE,SIDNEY ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715358,4/27/16 17:30,,MASSACHUSETTS AVE,SIDNEY ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715359,4/27/16 17:36,,MASSACHUSETTS AVE,SIDNEY ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715360,4/27/16 17:48,,MASSACHUSETTS AVE,SIDNEY ST,85/11B,BICYCLE VIOLATION c85 S11B
